[2024-06-08 19:42:53.313]	     | Already up to date.
[2024-06-08 19:42:53.325]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-08 19:42:53.391]	 Done.

[2024-06-08 19:43:02.475]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-08 19:43:02.488]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-08 19:43:02.546]	 Already installed "tmux-continuum"
[2024-06-08 19:43:02.547]	 Already installed "tmux-yank"
[2024-06-08 19:43:02.548]	 Already installed "tmux-copycat"
[2024-06-08 19:43:02.548]	 Already installed "tmux-open"
[2024-06-08 19:43:02.549]	 Already installed "tmux-resurrect"
[2024-06-08 19:43:02.550]	 Already installed "tmux-sessionx"
[2024-06-08 19:43:02.551]	 Already installed "tmux-fzf-url"
[2024-06-08 19:43:02.564]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-08 19:43:02.584]	 Updating all plugins!
[2024-06-08 19:43:02.584]	 
[2024-06-08 19:43:04.147]	   "tmux-copycat" update success
[2024-06-08 19:43:04.150]	     | Already up to date.
[2024-06-08 19:43:04.153]	   "tmux-continuum" update success
[2024-06-08 19:43:04.156]	     | Already up to date.
[2024-06-08 19:43:04.158]	   "tmux-yank" update success
[2024-06-08 19:43:04.160]	   "tmux-fzf-url" update success
[2024-06-08 19:43:04.162]	     | Already up to date.
[2024-06-08 19:43:04.162]	   "tmux-sessionx" update success
[2024-06-08 19:43:04.163]	     | Already up to date.
[2024-06-08 19:43:04.164]	     | Already up to date.
[2024-06-08 19:43:04.170]	   "tmux-open" update success
[2024-06-08 19:43:04.172]	     | Already up to date.
[2024-06-08 19:43:04.862]	   "tmux-resurrect" update success
[2024-06-08 19:43:04.865]	     | Already up to date.
[2024-06-08 19:43:04.879]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-08 19:43:04.944]	 Done.

[2024-06-08 19:44:07.918]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-08 19:44:07.931]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-08 19:44:07.988]	 Already installed "tmux-yank"
[2024-06-08 19:44:07.989]	 Already installed "tmux-open"
[2024-06-08 19:44:07.990]	 Already installed "tmux-resurrect"
[2024-06-08 19:44:07.991]	 Already installed "tmux-fzf-url"
[2024-06-08 19:44:07.993]	 Already installed "tmux-copycat"
[2024-06-08 19:44:07.994]	 Already installed "tmux-sessionx"
[2024-06-08 19:44:07.994]	 Already installed "tmux-continuum"
[2024-06-08 19:44:08.006]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-08 19:44:08.025]	 Updating all plugins!
[2024-06-08 19:44:08.026]	 
[2024-06-08 19:44:09.337]	   "tmux-sessionx" update success
[2024-06-08 19:44:09.341]	     | Already up to date.
[2024-06-08 19:44:09.362]	   "tmux-copycat" update success
[2024-06-08 19:44:09.364]	   "tmux-open" update success
[2024-06-08 19:44:09.369]	     | Already up to date.
[2024-06-08 19:44:09.369]	     | Already up to date.
[2024-06-08 19:44:09.403]	   "tmux-yank" update success
[2024-06-08 19:44:09.408]	     | Already up to date.
[2024-06-08 19:44:09.425]	   "tmux-fzf-url" update success
[2024-06-08 19:44:09.430]	     | Already up to date.
[2024-06-08 19:44:09.441]	   "tmux-continuum" update success
[2024-06-08 19:44:09.441]	   "tmux-resurrect" update success
[2024-06-08 19:44:09.444]	     | Already up to date.
[2024-06-08 19:44:09.445]	     | Already up to date.
[2024-06-08 19:44:09.459]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-08 19:44:09.525]	 Done.

[2024-06-09 16:05:12.100]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-09 16:05:12.112]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-09 16:05:12.166]	 Already installed "tmux-continuum"
[2024-06-09 16:05:12.167]	 Already installed "tmux-resurrect"
[2024-06-09 16:05:12.167]	 Already installed "tmux-yank"
[2024-06-09 16:05:12.168]	 Already installed "tmux-open"
[2024-06-09 16:05:12.169]	 Already installed "tmux-copycat"
[2024-06-09 16:05:12.169]	 Already installed "tmux-fzf-url"
[2024-06-09 16:05:12.172]	 Already installed "tmux-sessionx"
[2024-06-09 16:05:12.184]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-09 16:05:12.201]	 Updating all plugins!
[2024-06-09 16:05:12.202]	 
[2024-06-09 16:05:13.510]	   "tmux-yank" update success
[2024-06-09 16:05:13.513]	     | Already up to date.
[2024-06-09 16:05:13.518]	   "tmux-resurrect" update success
[2024-06-09 16:05:13.520]	     | Already up to date.
[2024-06-09 16:05:13.527]	   "tmux-open" update success
[2024-06-09 16:05:13.530]	     | Already up to date.
[2024-06-09 16:05:13.547]	   "tmux-copycat" update success
[2024-06-09 16:05:13.549]	     | Already up to date.
[2024-06-09 16:05:13.627]	   "tmux-continuum" update success
[2024-06-09 16:05:13.629]	     | Already up to date.
[2024-06-09 16:05:13.630]	   "tmux-fzf-url" update success
[2024-06-09 16:05:13.632]	     | Already up to date.
[2024-06-09 16:05:13.712]	   "tmux-sessionx" update success
[2024-06-09 16:05:13.714]	     | Already up to date.
[2024-06-09 16:05:13.726]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-09 16:05:13.788]	 Done.

[2024-06-12 14:00:57.157]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-12 14:00:57.175]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-12 14:00:57.296]	 Already installed "tmux-copycat"
[2024-06-12 14:00:57.297]	 Already installed "tmux-sessionx"
[2024-06-12 14:00:57.298]	 Already installed "tmux-fzf-url"
[2024-06-12 14:00:57.301]	 Already installed "tmux-yank"
[2024-06-12 14:00:57.302]	 Already installed "tmux-open"
[2024-06-12 14:00:57.305]	 Already installed "tmux-continuum"
[2024-06-12 14:00:57.309]	 Already installed "tmux-resurrect"
[2024-06-12 14:00:57.333]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-12 14:00:57.381]	 Updating all plugins!
[2024-06-12 14:00:57.382]	 
[2024-06-12 14:00:58.818]	   "tmux-yank" update success
[2024-06-12 14:00:58.820]	   "tmux-copycat" update success
[2024-06-12 14:00:58.821]	   "tmux-open" update success
[2024-06-12 14:00:58.823]	     | Already up to date.
[2024-06-12 14:00:58.824]	     | Already up to date.
[2024-06-12 14:00:58.824]	     | Already up to date.
[2024-06-12 14:00:58.842]	   "tmux-fzf-url" update success
[2024-06-12 14:00:58.845]	     | Already up to date.
[2024-06-12 14:00:58.846]	   "tmux-resurrect" update success
[2024-06-12 14:00:58.848]	     | Already up to date.
[2024-06-12 14:00:58.852]	   "tmux-continuum" update success
[2024-06-12 14:00:58.854]	     | Already up to date.
[2024-06-12 14:00:58.872]	   "tmux-sessionx" update success
[2024-06-12 14:00:58.874]	     | Already up to date.
[2024-06-12 14:00:58.887]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-12 14:00:58.949]	 Done.

[2024-06-12 17:30:29.407]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-12 17:30:29.419]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-12 17:30:29.474]	 Already installed "tmux-yank"
[2024-06-12 17:30:29.475]	 Already installed "tmux-open"
[2024-06-12 17:30:29.475]	 Already installed "tmux-copycat"
[2024-06-12 17:30:29.476]	 Already installed "tmux-resurrect"
[2024-06-12 17:30:29.477]	 Already installed "tmux-continuum"
[2024-06-12 17:30:29.477]	 Already installed "tmux-fzf-url"
[2024-06-12 17:30:29.480]	 Already installed "tmux-sessionx"
[2024-06-12 17:30:29.492]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-12 17:30:30.820]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-12 17:30:30.841]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-12 17:30:30.924]	 Already installed "tmux-open"
[2024-06-12 17:30:30.926]	 Already installed "tmux-continuum"
[2024-06-12 17:30:30.927]	 Already installed "tmux-copycat"
[2024-06-12 17:30:30.927]	 Already installed "tmux-resurrect"
[2024-06-12 17:30:30.927]	 Already installed "tmux-sessionx"
[2024-06-12 17:30:30.928]	 Already installed "tmux-yank"
[2024-06-12 17:30:30.928]	 Already installed "tmux-fzf-url"
[2024-06-12 17:30:29.510]	 Updating all plugins!
[2024-06-12 17:30:29.511]	 
[2024-06-12 17:30:30.825]	   "tmux-copycat" update success
[2024-06-12 17:30:30.831]	     | Already up to date.
[2024-06-12 17:30:30.870]	   "tmux-open" update success
[2024-06-12 17:30:30.874]	     | Already up to date.
[2024-06-12 17:30:30.875]	   "tmux-sessionx" update success
[2024-06-12 17:30:30.878]	     | Already up to date.
[2024-06-12 17:30:30.883]	   "tmux-fzf-url" update success
[2024-06-12 17:30:30.886]	     | Already up to date.
[2024-06-12 17:30:30.895]	   "tmux-continuum" update success
[2024-06-12 17:30:30.897]	     | Already up to date.
[2024-06-12 17:30:30.900]	   "tmux-yank" update success
[2024-06-12 17:30:30.907]	     | Already up to date.
[2024-06-12 17:30:30.927]	   "tmux-resurrect" update success
[2024-06-12 17:30:30.929]	     | Already up to date.
[2024-06-12 17:30:30.941]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-12 17:30:30.941]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-12 17:30:31.007]	 Done.

[2024-06-12 17:30:30.961]	 Updating all plugins!
[2024-06-12 17:30:30.961]	 
[2024-06-12 17:30:32.222]	   "tmux-open" update success
[2024-06-12 17:30:32.226]	     | Already up to date.
[2024-06-12 17:30:32.261]	   "tmux-copycat" update success
[2024-06-12 17:30:32.262]	   "tmux-resurrect" update success
[2024-06-12 17:30:32.265]	     | Already up to date.
[2024-06-12 17:30:32.265]	     | Already up to date.
[2024-06-12 17:30:32.277]	   "tmux-fzf-url" update success
[2024-06-12 17:30:32.280]	     | Already up to date.
[2024-06-12 17:30:32.283]	   "tmux-yank" update success
[2024-06-12 17:30:32.286]	     | Already up to date.
[2024-06-12 17:30:32.299]	   "tmux-continuum" update success
[2024-06-12 17:30:32.301]	     | Already up to date.
[2024-06-12 17:30:32.316]	   "tmux-sessionx" update success
[2024-06-12 17:30:32.318]	     | Already up to date.
[2024-06-12 17:30:32.330]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
